Latitude	Longitude	Elevation
19.32256112	104.6245177	311.5539856
19.31571759	104.6215905	237.8006592
19.30887402	104.6186635	196.4259338
19.30203041	104.6157368	163.2724915
19.29518674	104.6128103	282.0889282
19.28834303	104.6098841	452.3300781
19.28149927	104.6069581	597.4077148
19.27465547	104.6040324	477.8880005
19.26781162	104.6011069	631.9960327
19.26096772	104.5981816	415.8431396
19.25751282	104.5948885	496.859375
19.26365401	104.5905532	350.9107666
19.26979509	104.5862174	262.1400757
19.27593607	104.5818814	346.6828918
19.28207695	104.5775451	358.2872925
19.28821772	104.5732084	443.8247681
19.2943584	104.5688714	412.4884644
19.30049897	104.564534	414.4463196
19.30663944	104.5601964	312.0318604
19.3127798	104.5558584	358.6629028
19.31892007	104.55152	281.3278503
19.32506023	104.5471814	263.2112732
19.33120028	104.5428424	409.4597168
19.32928267	104.5412364	355.5790405
19.3219063	104.5414819	311.4744263
19.31452992	104.5417273	517.8652954
19.30715355	104.5419728	540.2554321
19.29977718	104.5422182	847.5996704
19.2924008	104.5424637	574.8309326
19.28508181	104.5414805	422.131134
19.27776433	104.5404649	450.4595642
19.27044685	104.5394493	488.6895752
19.26312936	104.5384338	501.7374878
19.25581187	104.5374184	405.542511
19.24849437	104.5364031	264.2083435
19.24117686	104.5353879	174.0959167
19.23385935	104.5343728	63.00778961
19.22654184	104.5333577	68.44335938
19.21922432	104.5323428	131.870224
19.21190679	104.5313279	212.8699188
19.20458926	104.5303132	151.9243164
19.19727172	104.5292985	268.8604126
19.18995417	104.5282839	513.5512085
19.18387423	104.5276827	443.1304626
19.19041736	104.531297	410.1508789
19.19696041	104.5349116	209.3901978
19.20350339	104.5385264	262.8755188
19.2100463	104.5421416	183.2812042
19.21358359	104.5479547	89.93345642
19.21445766	104.555715	155.1975403
19.21533141	104.5634755	237.6309509
19.21620484	104.571236	259.7099304
19.21707793	104.5789966	201.5412445
19.2179507	104.5867572	59.90813828
19.21882314	104.594518	93.02326965
19.21890148	104.6013751	130.0132751
19.21165525	104.5998937	125.8241959
19.20440902	104.5984125	192.0162354
19.19716277	104.5969313	256.4645081
19.18991652	104.5954503	234.6349945
19.18267025	104.5939695	145.7080078
19.17542397	104.5924887	267.4182434
19.16817767	104.5910081	287.6809387
19.16093137	104.5895276	576.6687622
19.15368505	104.5880472	645.7648926
19.14643872	104.586567	513.7247314
19.14339036	104.5798569	717.6608276
19.14083991	104.5725262	730.0478516
19.13828917	104.5651958	551.8499756
19.13573814	104.5578657	611.5111694
19.13318682	104.5505357	845.8787842
19.13063521	104.543206	1081.513916
19.12808331	104.5358765	1316.04834
19.13302508	104.5326155	1330.575317
19.14013804	104.5305331	1517.849731
19.14725098	104.5284506	1250.222778
19.1543639	104.5263678	1014.905945
19.16147679	104.5242849	765.0522461
19.16858966	104.5222018	678.7843018
19.1757025	104.5201185	690.2723999
19.18281532	104.518035	533.1047974
19.18992812	104.5159514	401.5969238
19.19704089	104.5138676	250.6546326
19.20415364	104.5117835	233.8773956
19.21126637	104.5096994	94.64505005
19.21837907	104.507615	281.7799377
19.22549175	104.5055304	228.0077362
19.23260441	104.5034457	373.2168884
19.23971704	104.5013608	229.463089
19.24682965	104.4992757	128.6760712
19.25394224	104.4971904	63.54192352
19.2610548	104.495105	72.02719116
19.26816734	104.4930194	188.1352539
19.27527985	104.4909335	166.2326965
19.28239234	104.4888475	199.2610168
19.28950481	104.4867614	285.2704163
19.29661725	104.484675	361.797821
19.30372967	104.4825885	474.7527161
19.31084207	104.4805017	640.8082275
19.31795444	104.4784148	370.1158752
19.32506679	104.4763278	242.6288452
19.33217911	104.4742405	258.5326233
19.33162827	104.4795748	132.3221436
19.32902751	104.486894	166.524765
19.32642646	104.4942129	189.3307495
19.32382511	104.5015316	163.1435394
19.32122348	104.5088501	287.2306824
19.31862155	104.5161683	271.4468689
19.31601933	104.5234863	434.6912231
19.31341681	104.5308041	490.0508118
19.31081401	104.5381217	489.7449646
19.30821091	104.545439	385.0992737
19.30560753	104.5527561	401.7304688
19.30300385	104.5600729	445.8518677
